ID,question,intention
2476,bcp nausea under mirena as vagal malais c is in the head or c is mirena,28
2477,i take xanax against anxieti but i think it noth mayb it wors i find that i am veri excit and i wa shake all over i even fast twitch in the buttock i wonder if it can come from xanax becaus i saw on the note that it may happen that the effect are contrari to the desir effect ie restless tension should i stop xanax,11
2478,seroxat dure pregnanc what are the risk,44
2479,i bought prevenar and infanrix for my daughter 5 month these vaccin were inject 3 day after purchas and when i came back from the doctor i saw that my fridg show 10 degre so too high what are the risk incur thi is veri danger for my daughter,48
2480,if discoveri pregnanc one week after yellow fever vaccin malform risk for the babi thank you,44
2481,vaccin bubbl,28
2482,i made a urin test and there is infect so my doctor gave me the monuril 24 hour after i realli have intestin disord as written on the note nausea and diarrhé is what qq among you also had thi effect,28
2483,methadon or subutex wean hero same mechan,37
2484,hello do you know if the vaccin against influenza is avail i must say that i alway hesit with my children there are certain year when they were not vaccin and they did not wear more maljem alway a littl skeptic,24
2485,what are the effect of miness,22
2486,dian 35 and button,28
2487,stediril we are protect from day one,23
2488,can you substitut methadon,50
2489,what is the inn spasfon,5
2490,mirena 8jour withdraw from heavi bleed,21
2491,arava who know,22
2492,i make anxieti attack a doctor offer me a equanil 400 mg the drug calm me but caus high insommol fatigu feel sick and final insommi thi drug is it danger for you a rather weak person,48
2493,is it normal to feel slow after take norset,28
2494,norset cost,46
2495,a pharmacist ask whether she can advis monasen gel to a pregnant patient of 3 month against her vagin drought,44
2496,wort cross reaction with implanon,34
2497,magnesium is good or bad dure pregnanc,44
2498,im not good with my medic should i return to effexor,11
2499,a gynecologist prescrib 75 to 100 mg of aspirin to pregnant women in the prevent of preeclampsia is not it againstind,44
2500,how to prescrib mitélas,9
2501,essenti oil tiger balm consequ,28
2502,and is that there are often case of ovarian cyst cyst that burst with microv,28
2503,what to do when you have an order of two emla patch for less than 3 month old infant,44
2504,hello i take mercilon sinc 3 month i want to know if it the pill that im tire all the time or is it just the arriv of winter otherwis i too dumb question to ask you but hey never mind i dare make love when i just finish my rule 5th day ± i risk noth becaus i do not take the pill for a week voila i am asham to ask thi question but i still hope you will answer me kiss to all,28
2505,pulmicort insomnia,28
2506,i take lutenyl and it been two month sinc i have not had my period and thi month i had the loss of middl cycl is thi normal,28
2507,i have a sore throat and am under antibiot orelox i would like to know cb time i contagi,23
2508,what medicin can solag thrust sacr facial herp,32
2509,i wonder if jasminel wa éfficac if i wa start on the 12th day of my cycl and if so after how long,39
2510,effexor dosag maximum dose,42
2511,are we may issu sterdex a child of 4 year,8
2512,i take the pill trinardiol and by earli anné i took my pill with the delay i had to take 31decenbr even and i have taken the two even i decid not to break for not have my period but here it been two day that i bleed is that it seriou im worri am i still protect,39
2513,influenzinum side effect,28
2514,the seropram make you fat,28
2515,how mani drop of célestèn to give for a 11 month old babi weigh 8 kilogram,42
2516,a pharmacist contact us becaus she ask whether pregabalin 150mg sandoz is indic for the treatment of neuropath pain such as lyrica is,31
2517,luteran is it harm,48
2518,pyostacin consequ anyon ever get that,28
2519,symptom vaccin effect against hpv,28
2520,i depakot in recent month and i would like to know what are the side effect,28
2521,tardyferon side effect,28
2522,i have to pass the pill dian 35 at perlean pill i thought it again after 7 day dian stop but on record they speak to resum direct result of the previou board in case of estrogen plu progestin contracept dian is what is in thi case what should i do,10
2523,temges is what caus a problem on erect,28
2524,can we still use lantu after 2 day out of the refriger,17
2525,how to stop lysanxia,14
2526,for what indic vaselin dress are they paid,47
2527,is what the dolipran insert into the vagina ha an abort effect,28
2528,depakot what pharmaceut form,30
2529,anxieti attack solut,32
2530,can we make a vaccin against influenza pregnant,44
2531,i want to know if the seroplex could impact sr fertil,28
2532,infanrixipv and tetravac which is the least load aluminum,5
2533,rule for 6 month make jasminel too soon need help,12
2534,i take the pill triafemij must stop the pill 7 day and i have to take the first tablet on the 7th day or the 8th,37
2535,follow a prescript 18mg concerta lp order for 28day 2206 consid the dosag i get a quantiti to deliv 27 unit while there are 28 unit in the box how deliv,8
2536,vaccin where to,14
2537,prozac 3 to 4 week they say,42
2538,doe anyon know the drug sargenor vitamin c,22
2539,what is calcium dose to pediatr for 0 to 8 month without milk cow milk protein,42
2540,then i take lectil instead of serc or betaserc,0
2541,take augmentin with alcohol is thi possibl,33
2542,prepar to the hospit want to know what color are tablet of sandoz candesartan 32mg,30
2543,is you have inform on the composit of the gener biseptin,5
2544,i take the pill minidril onli thi morn i have not taken my pill so i took the morn after pill cast with my man so we had report i wonder if i should take my pill that i have not taken thi morn and if tomorrow i have to take my pill normal,13
2545,is it possibl to have a progesteron level too low in jasminel,28
2546,sever peopl in the famili are lack methionin amino acid it exist in homeopathi methioninum 4ch can i take instead of lmethionin,0
2547,iud he caus infect complic,28
2548,it been 10 day im more or less homeopath treatment against acn as a dermatologist prescrib me i take zinc granion the poconéol and silecea i notic from 5 day that i did is what an acn attack normal,28
2549,chickenpox vaccin,32
2550,risperd for psychosi,31
2551,i took a bag secnol follow by the bristopen for 10 day 2 pill morn and even and also for me a minazol ovum can we continu test the babi,44
2552,seroxat and reassembl moral,31
2553,can we deliv a toxic had order receiv by fax,8
2554,prothuiaden and pregnanc,44
2555,can we take tinordiol and flanid same time,34
2556,there he qq who know duphaston,22
2557,is there a gener for avodart,45
2558,what part of the bodi is done repevax vaccin priorix tubertest and engerix,14
2559,i use nuvar i put a new ring but it still 24 behind do you think i should use more condom thi month not to get pregnant,13
2560,can you take st john wort with antianxieti and antidepress,34
2561,is it necessari between dose of homeopath granul if sever strain taken at the same time,38
2562,i want to know if drug interact between nuvar and seroplex,34
2563,i take seropram side effect can last long,27
2564,duphaston how to use,14
2565,a pharmacist ask whether the packag of actiq allow unpack the unit to deliv the exact amount,6
2566,no question on drug,24
2567,what is the risk of use my tylenol 500mg outdat ago 2 month,19
2568,can we prescrib vogalen dure pregnanc,44
2569,he must prescrib l levothyrox replac thyroxin,0
2570,i come for the first time to chain two pill platelet mélian and i notic that i wa the spote when i should have my period i would have want to know if thi wa normal,28
2571,are vaccin photosensit,28
2572,i have 2 platelet chain to holgyem the i vien to finish the second platelet j aret pdt seven day my dc rule will arriv soon is what he will ke me to take my plate the 8 th day,14
